gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,1,Blue,top,Zika,oe:player:65ed20b21e2993fb00dbd21a2fd991b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Aatrox,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,1,3,1,3,16,,,,,,0,,,0.0954,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092,225.6204,0.169648,564.1463,,14,0.4454,4,0.1273,5,24,0.7635,11083,6960,221.4210,0.237608,10784,,279,256,23,16,0,8.8759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,2,Blue,jng,Weiwei,oe:player:57da8dfcfbdb4e5b019fe93003db1c4,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Maokai,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,0,4,3,3,16,,,,,,0,,,0.0954,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7361,234.1782,0.176101,847.4761,,10,0.3181,12,0.3818,10,39,1.2407,8636,4513,143.5737,0.154069,8840,,153,14,139,111,3,4.8674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,3,Blue,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Orianna,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,0,2,0,3,16,,,,,,0,,,0.0954,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005,318.2927,0.239355,432.2163,,4,0.1273,8,0.2545,2,31,0.9862,10743,6620,210.6045,0.226,10594,,270,269,1,1,0,8.5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,4,Blue,bot,GALA,oe:player:867e8957fae1cb59f0808dbcc3aada2,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Kalista,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,2,4,0,3,16,,,,,,0,,,0.0954,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10892,346.5111,0.260563,491.4528,,22,0.6999,13,0.4136,4,44,1.3998,12224,8101,257.7200,0.276561,11119,,311,307,4,0,0,9.8940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,5,Blue,sup,Mark,oe:player:a74c2977c1fc826e9e7bdb6b224a141,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Senna,Akali,Nocturne,K'Sante,Lee Sin,Wukong,1886,0,0,3,3,3,16,,,,,,0,,,0.0954,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6451,205.2280,0.154333,239.7137,,47,1.4952,22,0.6999,12,111,3.5313,7221,3098,98.5578,0.105762,6175,,30,30,0,0,0,0.9544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,6,Red,top,Xiaoxu,oe:player:8007ba25dee37ac1e4445a6e9f8d252,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Rumble,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,4,0,6,16,3,,,,,,1,,,0.5090,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14049,446.9459,0.246726,228.8971,,11,0.3499,3,0.0954,5,26,0.8271,13378,9255,294.4327,0.225062,11179,,283,245,38,15,6,9.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,7,Red,jng,naiyou,oe:player:a7b51467f09577883d7150f37393964,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Rell,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,1,0,12,16,3,,,,,,0,,,0.5090,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3945,125.5037,0.0692822,591.0286,,14,0.4454,8,0.2545,11,49,1.5589,10590,6467,205.7370,0.157264,9455,,169,12,157,91,21,5.3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,8,Red,mid,VicLa,oe:player:d709285b163a94af9d819e568c592ba,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,LeBlanc,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,4,0,7,16,3,,,,,,0,,,0.5090,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14917,474.5599,0.261963,444.1145,,10,0.3181,14,0.4454,8,44,1.3998,14603,10480,333.4040,0.254852,12643,,329,319,10,7,2,10.4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,9,Red,bot,Assum,oe:player:da3299cd46f1ad8a86bbadeb6b8a320,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Varus,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,7,1,5,16,3,,,,,,0,,,0.5090,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19516,620.8696,0.342725,268.5684,,11,0.3499,14,0.4454,7,41,1.3043,15021,10898,346.7020,0.265017,13820,,303,294,9,9,0,9.6394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660-10660_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=10660,DCup,2023,,0,2024-01-01 05:13:15,1,13.24,10,Red,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,Renata Glasc,Poppy,Ashe,Neeko,Vi,Jarvan IV,1886,1,0,2,13,16,3,,,,,,0,,,0.5090,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516,143.6691,0.0793036,384.4327,,76,2.4178,10,0.3181,25,117,3.7222,8145,4022,127.9533,0.097806,7110,,16,16,0,0,0,0.5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
